,date,is_about_hp,text,preprocessed_text,score_vader,vader_class
15,2016-07-02,,@HelenMilburn @mrdavidwhitley @euanmccolm 'What am I currently listening to? Dana International.',currently listen dana international,0.0,neutral
16,2016-07-02,,@euanmccolm I've got 'reverses car over old lady while on mobile phone.',got revers car old lady mobile phone,0.0,neutral
17,2016-07-02,False,"@BrianSpanner1 @HelenMilburn @euanmccolm Yes, there is a Corbyn in the nation's soup. In fairness, some insist he is a tasty crouton.",yes corbyn nation soup fairness insist tasty crouton,0.4019,positive
18,2016-07-02,,"@BrianSpanner1 @HelenMilburn @euanmccolm As in ""we have no idea how the sputum ended up in your soup, sir!""?",idea sputum end soup sir,0.0,neutral
19,2016-07-02,,@HelenMilburn @euanmccolm *looks depressed then gives up and actually bursts into tears* (method),look depress give actually burst tear method,-0.4939,negative
20,2016-07-02,True,RT @jasonsfolly: A Malfoy and a Lanister trying not to be overawed in the wings. #Somme100 #GoT #HarryPotter #BBC1  #GettingNervous https:/…,malfoy lanister try overawe wing somme get harrypotter bbc gettingnervous,0.0,neutral
21,2016-07-02,,@Joannechocolat It stinks. Go play with myths xxx,stink go play myth xxx,-0.0772,negative
22,2016-07-02,,@Joannechocolat I wish you'd stop making things up. There should be no place for that nonsense in fiction. #KeepMythsReal,wish stop making thing place nonsense fiction keepmythsreal,-0.296,negative
23,2016-07-02,False,RT @JadeFrancesAzim: Look at this mansplaining. I should be grateful cos Corbyn fought for ME. We should put up with abuse. Wow. https://t.…,look mansplaining grateful co corbyn fight put abuse wow,-0.0,neutral
24,2016-07-02,,@BrianSpanner1 @trewloy That was a low blow.,low blow,-0.2732,negative
25,2016-07-02,,@trewloy *groans*,groan,0.0,neutral
26,2016-07-02,,@BrianSpanner1 I don't believe you. Ardrossan is the Brussels of the north.,believe ardrossan brussels north,0.0,neutral
27,2016-07-02,,"@BrianSpanner1 Hang on, did Ardrossan vote Leave? I didn't see the stats.",hang ardrossan vote leave see stats,-0.0516,negative
28,2016-07-02,False,"RT @JadeFrancesAzim: Not only is conformity and silencing of criticism really unhealthy for any party, the burden and abuse always. Falls.…",conformity silence criticism really unhealthy party burden abuse always fall,-0.8996,negative
29,2016-07-02,False,"RT @JadeFrancesAzim: Really done with a party whose members target women for a messiah. If you were an opinionated woman, would you join La…",really do party whose member target woman messiah opinionated woman would join la,0.6344,positive
30,2016-07-02,False,"RT @gabyhinsliff: But first, here's a column I didn't think I'd ever have to write: hate speech, death threats &amp; the Labour leadership http…",first column think ever write hate speech death threat amp labour leadership,-0.9001,negative
31,2016-07-01,False,"RT @digitalspy: JK Rowling has ALREADY written a sequel to Fantastic Beasts and Where To Find Them!

Keen.

https://t.co/UBpw9yBd5z https:/…",jk rowling already write sequel fantastic beast find keen,0.7906,positive
32,2016-07-01,False,"RT @sturdyAlex: Project Corbyn Has Run Out of Runway. My latest piece. 

https://t.co/4hysZHLakV",project corbyn run runway late piece,0.0,neutral
33,2016-07-01,,@ArtyBagger Looking good Mu! xx,look good mu xx,0.4404,positive
34,2016-07-01,False,RT @Fascinatingpics: Owl mid-flight https://t.co/ZIZ30hOWNs,owl mid flight,0.0,neutral
35,2016-06-30,False,"RT @NewStatesman: By refusing to stand down, Jeremy Corbyn has betrayed the British working classes https://t.co/nJNodnfERr https://t.co/LD…",refuse stand jeremy corbyn betray british working class,-0.7506,negative
36,2016-06-30,False,RT @TotalPolitics: Latest from @ayeshahazarika: Corbyn has got wasted on the Kool-Aid https://t.co/wr1Ua4Gzs4 https://t.co/XQbLpRcACr,late corbyn get wasted kool aid,-0.4939,negative
37,2016-06-30,False,RT @RuthSmeeth: My statement on the disgusting events at the Chakrabarti Inquiry https://t.co/5DEy98W8rl,statement disgust event chakrabarti inquiry,-0.5994,negative
38,2016-06-30,False,"@Becca_jew That was a joke! Of course I don't think all Corbynites are angry trolls, though the ones making death threats aren't very funny.",joke course think corbynites angry troll though one make death threat funny,-0.7579,negative
39,2016-06-30,,"@ThisJayThomas If I believed nobody else cared I'd be even more depressed than I am now, but other people DO care and we need them in power!",believe nobody els care even depressed people care need power,0.4767,positive
40,2016-06-30,,@almostdoctordan I agree with every word of this. https://t.co/KOZZbkFGN2,agree every word,0.3612,positive
41,2016-06-30,False,"@almostdoctordan I know what grinding poverty feels like and the memory never, ever leaves you. How's Labour helping those people right now?",know grind poverty feel like memory never ever leave labour help people right,0.2612,positive
42,2016-06-30,False,@almostdoctordan I'm trying to ascertain how desperate your need is for a functional Labour party that can be voted into power and DO things,try ascertain desperate need functional labour party vote power thing,0.1027,positive
43,2016-06-30,,@almostdoctordan What's condescending about asking you whether you've gone hungry to feed a child?,condescend ask whether go hungry feed child,0.0,neutral
44,2016-06-30,,"@almostdoctordan Just as a matter of interest, have you ever gone without food to feed your child, Dan?",matter interest ever go without food feed child dan,0.4767,positive
45,2016-06-30,,"I forgot Dumbledore trashed Hogwarts, refused to resign and ran off to the forest to make speeches to angry trolls. https://t.co/TOD1xQwUIW",forgot dumbledore trashed hogwarts refuse resign ran forest make speech angry troll,-0.7845,negative
46,2016-06-30,False,RT @KateEMcCann: Cannot believe what has just happened at Corbyn press conference. Jewish MP walked out of Antisemitism report launch in te…,can not believe happen corbyn press conference jewish mp walk antisemitism report launch te,0.0,neutral
47,2016-06-30,False,RT @LisaMuggeridge1: A letter to Jeremy Corbyn from ‘the poor’ you wear as a badge https://t.co/Zic6pxRljF,letter jeremy corbyn poor wear badge,-0.4767,negative
48,2016-06-30,True,"RT @FrankieABCarr: Spare ticket 4 Harry Potter play on in London today. 1st showing 2pm, 2nd showing 7.30pm. Let me know ASAP #HarryPotter…",spare ticket harry potter play london today st show pm nd show pm let know asap harrypotter,0.34,positive
49,2016-06-30,False,RT @JournoStephen: The Leave campaign's tactics don't just echo Trump. They are right out of the Yes/SNP playbook during #indyref. https://…,leave campaign tactic echo trump right yes snp playbook indyref,0.3612,positive
50,2016-06-30,False,"RT @DawnMonks: Funeral is today, 30th, if anyone wants to come. We don't want him flying into the long night alone, do we? https://t.co/ysd…",funeral today th anyone want come want fly long night alone,-0.4404,negative
51,2016-06-30,False,RT @Paul1Singh: Yvette Cooper alerts police after Twitter death threat against family members https://t.co/HHx6rTWQ6L,yvette cooper alert police twitter death threat family member,-0.7269,negative
52,2016-06-30,,.@EisaAli_RT Russia Today journo thinks intimidation of democratically elected female MPs not the newsworthy issue. https://t.co/rY6Xm6vCpy,russia today journo think intimidation democratically elect female mp newsworthy issue,-0.4215,negative
53,2016-06-29,,@HelenMilburn I said I was sorry. *Hangs head*,say sorry hang head,-0.0772,negative
54,2016-06-29,,@trewloy Sorry.,sorry,-0.0772,negative
55,2016-06-29,False,"RT @fatimamanji: Leave campaign's biggest donor says ""facts don't work"" and they took an American approach #EUref https://t.co/5hodbXkDRw",leave campaign big donor say facts work take american approach euref,-0.0516,negative
56,2016-06-29,,@HelenMilburn Sorry.,sorry,-0.0772,negative
57,2016-06-29,,Perfect! https://t.co/Y7h3JicznD,perfect,0.5719,positive
58,2016-06-29,False,RT @JamieRoss7: Angus MacNeil accuses David Coburn of being the stupidest guy in Scotland. Fails to spell stupidest correctly. https://t.co…,angus macneil accuse david coburn stupid guy scotland fail spell stupid correctly,-0.9022,negative
59,2016-06-29,False,"RT @CCriadoPerez: Hey there people sending MPs death threats in some twisted attempt to support Corbyn, did you ever stop to think... https…",hey people send mp death threat twist attempt support corbyn ever stop think,-0.7783,negative
60,2016-06-29,,"'You heard female colleagues express their anguish... at the political culture you have sought to foster.'

@jreedmp https://t.co/l1Eq0jBnQt",heard female colleague express anguish political culture seek foster,-0.5994,negative
61,2016-06-29,,"""Confidence in a leader cannot be instilled through intimidation.""

Alan Johnson https://t.co/JDbZhow1n8",confidence leader can not instill intimidation alan johnson,0.684,positive
62,2016-06-29,False,"@chrisdeerin On the plus side, maybe some Red Tories will pick up one of my books. Swings and roundabouts.",plus side maybe red tory pick one book swing roundabout,0.0,neutral
63,2016-06-29,,@chrisdeerin That's why I pick issues where there's zero chance of annoying anyone. You can't be too careful in this game.,pick issue zero chance annoy anyone careful game,-0.0772,negative
64,2016-06-29,False,"@chrisdeerin Next time I tweet about Corbyn needing to go, I'll be terrified in case somebody exposes what I'm up to.",next time tweet corbyn need go terrified case somebody expose,-0.6808,negative
65,2016-06-29,False,RT @HPPlayLDN: A Thomas Wolfe quote inspired this set; ‘Few buildings are vast enough to hold the sound of time’ #CursedChild https://t.co/…,thomas wolfe quote inspire set building vast enough hold sound time cursedchild,0.5719,positive
66,2016-06-29,,"This picture gives me hope. Actually, I've got something quite large in my eye...  https://t.co/Kd9LdgmeTb",picture give hope actually get something quite large eye,0.4404,positive
67,2016-06-29,,That's not how democracy works! Leave won and we have to accept that. https://t.co/jf20xvLBrn,democracy work leave accept,0.34,positive
68,2016-06-29,False,"RT @MxJackMonroe: Lovely to see so many Corbyn fans invoking those kinder, gentler politics. https://t.co/Pv79QDVtO5",lovely see many corbyn fan invoke kinder gentler politics,0.8934,positive
69,2016-06-29,False,RT @callumcollins: Corbyn fans now demanding MPs vote against Brexit have forgotten that last Friday Corbyn called for Article 50 to be inv…,corbyn fan demand mps vote brexit forget last friday corbyn call article inv,-0.0258,negative
70,2016-06-29,False,RT @susanelanjones: @jeremycorbyn Come door-knocking with me in N Wales for a few hours if you still don't understand why you must go. http…,come door knock wale hour still understand must go,0.0,neutral
71,2016-06-29,,@MaureenSG xx,xx,0.0,neutral
72,2016-06-29,False,RT @MikeGapes: It's not about you. Or whether you like him. It is about can we win an election with Jeremy as our leader. We can't  https:/…,whether like win election jeremy leader,0.743,positive
73,2016-06-29,False,RT @jeremyduns: They always believed this. Labour's finished unless they go. Farage wins. Useful idiots have rarely been as useless. https:…,always believe labour finish unless go farage win useful idiot rarely useless,0.6939,positive
74,2016-06-29,True,"There is no equivalence between Hogwarts and Ilvermorny houses, but don't diss Hufflepuff!  https://t.co/ey0VdC542f",equivalence hogwarts ilvermorny house diss hufflepuff,0.0,neutral
75,2016-06-28,,@JournoStephen Think I should have bought her a bigger present?,think buy big present,0.0,neutral
76,2016-06-28,,"You also share your birthday with my sister, who loves Dobby (see what I did there?) Have a good one x https://t.co/b2fDfb94iP",also share birthday sister love dobby see good one,0.8519,positive
77,2016-06-28,False,RT @lumos: You could be at a screening of @FantasticBeasts alongside @jk_rowling Eddie Redmayne &amp; more https://t.co/iDPPiBjf0J https://t.co…,could screen alongside eddie redmayne amp,0.0,neutral
78,2016-06-28,,Donate it to your favourite charity. I'm a Thunderbird. https://t.co/MKXrHFcPQM,donate favourite charity thunderbird,0.4215,positive
79,2016-06-28,False,RT @alexlindsey1: I still find it astonishing that a man who consistently voted against his own party now demands total loyalty https://t.c…,still find astonishing man consistently vote party demand total loyalty,0.6908,positive
80,2016-06-28,False,RT @moorlanddragon: If Corbyn doesn't resign (unlikely) or wins another leadership election -then Labour as a political force is effectivel…,corbyn resign unlikely win another leadership election labour political force effectivel,0.34,positive
81,2016-06-28,False,RT @Sathnam: @sunny_hundal one man's egotism and self-indulgence = fear and exclusion for millions.,one man egotism self indulgence fear exclusion million,-0.7783,negative
82,2016-06-28,False,RT @Sathnam: Why I fear and despise Corbyn more than any Tory https://t.co/O2DRRtWmys,fear despise corbyn tory,-0.6808,negative
83,2016-06-28,False,"RT @jannyjan1: Dear @jeremycorbyn I am a member, I believed you, I voted for you, I made a mistake, You are making a mistake now.Please res…",dear member believe vote make mistake make mistake please re,0.0258,positive
84,2016-06-28,True,@hufflepuffloz guess 😉,guess,0.0,neutral
85,2016-06-28,,"Yes, actually, it would. Thank you. https://t.co/4nKqusrjcc",yes actually would thank,0.6369,positive
86,2016-06-28,True,"RT @pottermore: Ready to discover #Ilvermorny for the first time? Delve into the rich history of the North American school...
https://t.co/…",ready discover ilvermorny first time delve rich history north american school,0.7269,positive
87,2016-06-28,,"That's a great defence, as long as you think active bigots are an improvement on the armchair kind. https://t.co/kWEf2EchzU",great defence long think active bigot improvement armchair kind,0.9274,positive
88,2016-06-28,,"Unfair, Rob I've done 7500 words since yesterday morning and only 1000 of them have been on Twitter. #doingmybest https://t.co/G1Ugc69Zg3",unfair rob do word since yesterday morning twitter doingmybest,-0.7717,negative
89,2016-06-28,False,RT @GaryLineker: I was wrong when I called Farage a dick and I apologise. He's a lot worse than that.,wrong call farage dick apologise lot bad,-0.8074,negative
90,2016-06-28,False,"RT @berylkingston: @jk_rowling @davrwu Hatred is never funny. It's frightening, repellant and destructive to both the hater and the hated.",hatred never funny frighten repellant destructive hater hat,-0.9076,negative
91,2016-06-28,False,"RT @MenissaS: 16. And now, some of you #leave voters with your #postrefracism are telling *me* to go home? How dare you. I AM HOME",leave voter postrefracism tell go home dare home,-0.0516,negative
92,2016-06-28,False,"RT @MenissaS: 15. And yet, I feel sad for you. The austerity will hit you hard. You have no idea how stupid it was to vote #leave , especia…",yet feel sad austerity hit hard idea stupid vote leave especia,-0.7964,negative
93,2016-06-28,False,"RT @MenissaS: 14. I'm wealthy, can bet on currency, buy a bigger house in a recession, enjoy private health care. It is *you* who will suff…",wealthy bet currency buy big house recession enjoy private health care suff,0.7269,positive
94,2016-06-28,False,"RT @MenissaS: 13. Part of me thinks f- you, you will be more affected by #brexit than I will.",part think affect brexit,0.0,neutral
95,2016-06-28,False,RT @MenissaS: 12. My family also contribute by employing 100s of British locals &amp; we give 2.5% of our savings to British charities. How muc…,family also contribute employ british local amp give saving british charity muc,0.4215,positive
96,2016-06-28,False,"RT @MenissaS: 11. With only a handful of exceptions, everyone in my clan is a higher rate taxpayer. How much tax do you pay, little racist…",handful exception everyone clan high rate taxpayer much tax pay little racist,-0.6258,negative
97,2016-06-28,False,"RT @MenissaS: 10. My dad and his siblings were born and grew up here. My family work hard. You like to say ""hard working"" but you haven't g…",dad sibling bear grow family work hard like say hard working,0.1779,positive
98,2016-06-28,False,"RT @MenissaS: 9. ""knowing"" she'd go back to find it. But it was lost forever. Despite her trauma, she remarried &amp; moved to Britain and work…",know go back find lose forever despite trauma remarry amp move britain work,-0.0946,negative
99,2016-06-28,False,RT @MenissaS: 8.My grandma watched her husband (her best friend) burned alive during partition. She fled with our ancestral gold to the for…,grandma watch husband best friend burn alive partition flee ancestral gold,0.875,positive
100,2016-06-28,False,"RT @MenissaS: 7. And Mountbatten, the Queen's bimbo cousin, trusted to deal with partition. Speeded up the process because his wife was sha…",mountbatten queen bimbo cousin trust deal partition speed process wife sha,0.5106,positive
101,2016-06-28,False,"RT @MenissaS: 6. although Britain balked at the thought of being ruled by a foreign power, it did not give it up lightly in India. Heard of…",although britain balk think rule foreign power give lightly india heard,0.0,neutral
102,2016-06-28,False,"RT @MenissaS: 5. we are beginning to enjoy some level of respect &amp; honour for their bravery but, I guess, not from you ignorant morons. Aft…",begin enjoy level respect amp honour bravery guess ignorant moron aft,0.836,positive
103,2016-06-28,False,RT @MenissaS: 4. Punjabis were specifically recruited for both world wars. The men in my family fought and died in both. For Britain. It is…,punjabi specifically recruit world war men family fight die britain,-0.886,negative
104,2016-06-28,False,"RT @MenissaS: 3. Let's make things easy for you &amp; stick to modern history. As tall, strong, loyal punjabis, the men in my family made perfe…",let make thing easy amp stick modern history tall strong loyal punjabi men family make perfe,0.8519,positive
105,2016-06-28,False,"RT @MenissaS: 2. Britain came to India early 1600s. Why do you think it stayed until 1947? ""My people"" IndPakBrits helped make Britain what…",britain come india early think stay people indpakbrits help make britain,0.4019,positive
106,2016-06-28,False,RT @MenissaS: 1. A word to *some* #leave voters: this is for the racists shouting naff 1970s abuse at us on the streets #postrefracism,word leave voter racist shout naff abuse u street postrefracism,-0.8555,negative
107,2016-06-28,False,"RT @holland_tom: Authors! If you aren't registered for @PLR_UK, you have until Thurs to do so, or you will miss out on payments this year t…",author register thurs miss payment year,-0.1531,negative
108,2016-06-28,False,"RT @MichaelPDeacon: Jeremy Corbyn may look like a harmless old sap, but he is not ""a decent man"". By @trewloy. https://t.co/K6hqquvZtm http…",jeremy corbyn may look like harmless old sap decent man,0.5423,positive
109,2016-06-28,,@WhitePhoenixUS @yorkist1980 @Big__Kev Those ignored people need a party who can speak and act for them in government.,ignore people need party speak act government,0.0516,positive
110,2016-06-28,False,I do love 'well-orchestrated coup' as a term of abuse. Most of us are thrilled to see Labour acting so competently. Keep it up.,love well orchestrate coup term abuse u thrill see labour act competently keep,0.5574,positive
111,2016-06-27,False,RT @kerihw: nostalgic for the days we were all mad about what colour a dress was,nostalgic day mad colour dress,-0.4939,negative
112,2016-06-27,False,"RT @Gary1609: @jk_rowling @Paul1Singh Im deeply ashamed that this is the type of person labour seem to attract,and angry that corbyn says n…",im deeply ashamed type person labour seem attract angry corbyn say,-0.6361,negative
113,2016-06-27,,@ravmattu I know no other way x,know way,0.0,neutral
114,2016-06-27,,@Benydyer Thank you x,thank,0.3612,positive
115,2016-06-27,,"My mind, my patience, my sense of humour. https://t.co/o3eJi4V6uh",mind patience sense humour,0.4767,positive
116,2016-06-27,,Is that honestly the best you can do?  Raise your game. https://t.co/qYLUipgU2L,honestly best raise game,0.802,positive
117,2016-06-27,False,RT @EaglesNo11: @jk_rowling Hate on the left and the right.  We need liberal voices back in HoC @nick_clegg @bbcnickrobinson @ChukaUmunna,hate leave right need liberal voice back hoc,-0.5994,negative
118,2016-06-27,,"""When I call for the filthy scum &amp; traitors in my party to be eradicated, I mean it in a lovely moral lefty way!"" https://t.co/88aSmsPXAX",call filthy scum amp traitor party eradicate mean lovely moral lefty way,0.7579,positive
119,2016-06-27,False,RT @lupescupe: @jk_rowling @Beathhigh this is unacceptable &amp; gross. I support Corbyn but this kind of behaviour needs to stop and shouldn't…,unacceptable amp gross support corbyn kind behaviour need stop,-0.296,negative
120,2016-06-27,,@Beathhigh My sides are splitting. Yours?,side split,0.0,neutral
121,2016-06-27,False,"11 days ago, a Labour MP was killed in the street leaving her surgery. This T-shirt strike you as funny? https://t.co/IZkWHa24N9",day ago labour mp kill street leave surgery shirt strike funny,-0.5423,negative
122,2016-06-27,,"When you use language like 'traitors', 'vermin' and 'eradicate', I'll call you a fascist. https://t.co/n9DG0mdrV3",use language like traitor vermin eradicate call fascist,-0.2732,negative
123,2016-06-27,,The overuse of 'decent' in political discourse lately is an admission that the forces of decency are fast eroding. https://t.co/bX6eKCbOgy,overuse decent political discourse lately admission force decency fast erode,0.0,neutral
124,2016-06-27,,"@LewisParkerUK @annaphillips_ I didn't mean to suggest otherwise, but i was enraged by the T-shirt. Didn't find it very funny.",mean suggest otherwise enraged shirt find funny,0.0516,positive
125,2016-06-27,,I'll use my influence whatever way I want. This country needs to be freed of fascists on both right and left. https://t.co/vdNCFkAVGI,use influence whatever way want country need free fascist right leave,-0.0516,negative
126,2016-06-27,False,RT @TweetsByBilal: When you voted Brexit and realise the imagrintz aren't going to be sent back to Islamustan https://t.co/fZLV79TtZa,voted brexit realise imagrintz go send back islamustan,0.0,neutral
127,2016-06-27,False,#savelabour https://t.co/J4oV7B5Cdp,savelabour,0.0,neutral
128,2016-06-27,,We're having a special screening of @FantasticBeasts at Carnegie Hall with Eddie Redmayne &amp; me! Tickets for sale: https://t.co/GZ6tJtdzPV,special screen carnegie hall eddie redmayne amp ticket sale,0.4019,positive
129,2016-06-27,,@jessphillips Stay strong. Lots of us think you're a heroine x,stay strong lot u think heroine,0.7906,positive
130,2016-06-27,,For those who feel we need a decent opposition: https://t.co/U17sonZFX7,feel need decent opposition,0.0,neutral
131,2016-06-27,False,"@glasgowcathcart @adamboultonSKY You played the 'scaremongering' card exactly like the Leave campaign, trying to talk down consequences.",play scaremongering card exactly like leave campaign try talk consequence,0.5719,positive
132,2016-06-27,False,@glasgowcathcart @adamboultonSKY It isn't a THREAT to tell somebody what the CONSEQUENCES of their choices will be.,threat tell somebody consequence choice,-0.5267,negative
133,2016-06-27,False,@glasgowcathcart @adamboultonSKY How is the Westminster government telling us what their position would be post-indy a THREAT?,westminster government tell u position would post indy threat,-0.5267,negative
134,2016-06-27,False,"@glasgowcathcart @adamboultonSKY You're saying the UK should have told Scotland 'have whatever you want', then revealed they lied post-indy?",say uk tell scotland whatever want reveal lie post indy,0.0772,positive
135,2016-06-27,False,"@glasgowcathcart @adamboultonSKY Jesus Christ Almighty. We are watching this exact scenario play out right now, with Brexit.",jesus christ almighty watch exact scenario play right brexit,0.34,positive
136,2016-06-27,False,"@glasgowcathcart @adamboultonSKY If Scotland left, why should the rest of the UK do us favours? We'd have destabilised them, as UK has EU.",scotland leave rest uk u favour destabilised uk eu,0.4019,positive
137,2016-06-27,False,"@glasgowcathcart @adamboultonSKY I literally don't know what that means. If Scotland left the UK, how is it still a part of the UK?",literally know mean scotland leave uk still part uk,-0.0516,negative
138,2016-06-27,False,@glasgowcathcart @adamboultonSKY It was Salmond who promised they'd let us have every advantage of the union once we'd left.,salmond promise let u every advantage union leave,0.4767,positive
139,2016-06-27,False,@glasgowcathcart @adamboultonSKY Trust in the Westminster gov? I trusted them - just like the EU now - to play hardball with us post-indy.,trust westminster gov trust like eu play hardball u post indy,0.8885,positive
140,2016-06-27,False,@glasgowcathcart @adamboultonSKY So we'd walk out of UK with less control over the currency we were using? You agree on that?,walk uk less control currency use agree,0.3612,positive
141,2016-06-27,False,"@glasgowcathcart @adamboultonSKY But that would be the Panama Plan, where we had a currency over which we had no control?",would panama plan currency control,0.0,neutral
142,2016-06-27,False,@glasgowcathcart @adamboultonSKY And you agree with Salmond's assertion we'd keep the pound even though rUK said we couldn't?,agree salmond assertion keep pound even though ruk say,0.3612,positive
143,2016-06-27,False,@glasgowcathcart @adamboultonSKY The figures are there in the white paper for the world to see and and so are the OBR forecasts!,figure white paper world see obr forecast,0.0,neutral
144,2016-06-27,False,@glasgowcathcart @adamboultonSKY Of course I named my source! That's what honest debaters do. Do you stand by the rest of your white paper?,course name source honest debater stand rest white paper,0.5106,positive
145,2016-06-27,False,@glasgowcathcart @adamboultonSKY ...so I think it's fair to say that the downturn didn't take everyone by surprise. Not by a long chalk.,think fair say downturn take everyone surprise long chalk,0.5267,positive
146,2016-06-27,False,@glasgowcathcart @adamboultonSKY Data courtesy of @kevverage and accepted by multiple non-aligned fact checkers.,data courtesy accept multiple non align fact checker,0.6249,positive
147,2016-06-27,False,@glasgowcathcart @adamboultonSKY https://t.co/i5pgg81NIB,,0.0,neutral
148,2016-06-27,,@glasgowcathcart https://t.co/oXLPwUA2Vj,,0.0,neutral
149,2016-06-27,False,@glasgowcathcart @adamboultonSKY https://t.co/ZaurDForqs,,0.0,neutral
150,2016-06-27,False,@glasgowcathcart @adamboultonSKY https://t.co/LA3JS9CXhY,,0.0,neutral
151,2016-06-27,False,"RT @PolishEmbassyUK: Congratulations to @DrRosena Allin Khan, MP for #Tooting with Polish heritage, on being sworn in today. #PolesinUK htt…",congratulation allin khan mp toot polish heritage swear today polesinuk htt,0.5719,positive
152,2016-06-27,False,"@glasgowcathcart @adamboultonSKY The white paper's predictions were wildly optimistic according to all experts at the time, so no.",white paper prediction wildly optimistic accord expert time,0.3182,positive
153,2016-06-27,,"@__S_P He didn't use current price, he wildly overestimated according to contemporaneous experts.",use current price wildly overestimate accord contemporaneous expert,0.0,neutral
154,2016-06-27,,"Alex 'Scotland will have billions in oil wealth if it leaves the UK' Salmond telling off Boris Johnson, there. Lucky irony's already dead.",alex scotland billion oil wealth leave uk salmond tell boris johnson lucky irony already dead,0.0772,positive
155,2016-06-27,False,"RT @mattforde: Hilary Benn getting an ovation from Labour MPs that Corbyn could only dream of, making a speech the quality Corbyn could nev…",hilary benn get ovation labour mp corbyn could dream make speech quality corbyn could nev,0.25,positive
156,2016-06-27,False,RT @rafaelbehr: Packed Commons debating Brexit. Boris Johnson absent. The weaselly cowardice of the man knows no limits.,packed common debate brexit boris johnson absent weaselly cowardice man know limit,0.0,neutral
157,2016-06-27,False,RT @lumos: Tickets for Lumos special screening of @FantasticBeasts at Carnegie Hall w @jk_rowling &amp; Eddie Redmayne on sale NOW! https://t.c…,ticket lumos special screen carnegie hall amp eddie redmayne sale,0.4019,positive
158,2016-06-27,,Fair enough. I just like seeing people do something constructive rather than pounding on self-destruct buttons. https://t.co/GxqRA1lvVe,fair enough like see people something constructive rather pound self destruct button,0.1027,positive
159,2016-06-27,,@chrisdeerin @jamiesont @jimwaterson @MichaelPDeacon Save it for the fallout shelter. It'll take our minds off the neep vodka.,save fallout shelter take mind neep vodka,0.4939,positive
160,2016-06-27,,@chrisdeerin @jamiesont @jimwaterson @MichaelPDeacon It would certainly test the theory that 'things can't get any worse.',would certainly test theory thing get bad,-0.2732,negative
161,2016-06-27,,"@chrisdeerin @jamiesont @jimwaterson @MichaelPDeacon No, although I wish you hadn't reminded me of that one.",although wish remind one,0.4019,positive
162,2016-06-27,,Can't hurt. https://t.co/gEkyRmmbGV,hurt,-0.5267,negative
163,2016-06-27,,"@chrisdeerin @jamiesont @jimwaterson @MichaelPDeacon no offence, but I've heard some of the other things you think are funny.",offence heard thing think funny,0.1779,positive
164,2016-06-27,,"Corrupt in battle, contemptuous in victory.

(No, this isn't a spoof. I checked.) https://t.co/UHbuN2ouuX",corrupt battle contemptuous victory spoof check,-0.7003,negative
165,2016-06-27,,@jimwaterson @MichaelPDeacon I have no words. None.,word none,0.0,neutral
